CountryName,Total Case,New Case,Total Deaths,new Deaths,Total Recovered,Active Cases,Critical Cases,Total Case / 1M Pop,Deaths / 1M Pop,Total Tests,Total Tests / 1M Pop,Population
USA,"31,918,601",,"575,829 ",,"24,480,522",,"6,862,250","9,172","95,993","1,732","419,387,504","1,261,275"
India,"13,527,717","+2,338","170,209 ",,"12,156,529","+2,816","1,200,979","8,944","9,728",122,"257,806,986","185,402"
Brazil,"13,482,543",,"353,293 ",,"11,880,803",,"1,248,447","8,318","63,081","1,653","28,600,000","133,812"
France,"5,058,680",,"98,750 ",,"309,787",,"4,650,143","5,838","77,367","1,510","69,627,924","1,064,877"
Russia,"4,649,710","+8,320","103,263 ",+277,"4,272,165","+6,656","274,282","2,300","31,851",707,"123,900,000","848,728"
UK,"4,369,775",,"127,087 ",,"3,972,029",,"270,659",406,"64,108","1,864","134,289,127","1,970,113"
Turkey,"3,849,011",,"33,939 ",,"3,331,411",,"483,661","2,824","45,260",399,"41,591,854","489,069"
Italy,"3,769,814",,"114,254 ",,"3,122,555",,"533,005","3,585","62,422","1,892","53,054,866","878,500"
Spain,"3,347,512",,"76,328 ",,"3,095,922",,"175,262","2,050","71,576","1,632","43,458,915","929,227"
Germany,"3,009,541",,"78,964  ",,"2,683,900","+12,700","246,677","4,515","35,831",940,"51,559,277","613,857"
Poland,"2,586,647","+12,013","58,481 ",+61,"2,197,782","+26,481","330,384","3,483","68,404","1,547","12,912,603","341,474"
Colombia,"2,536,198",,"65,889 ",,"2,383,785",,"86,524","3,079","49,435","1,284","13,314,269","259,520"
Argentina,"2,532,562",,"57,779 ",,"2,233,140",,"241,643","3,789","55,639","1,269","9,590,737","210,704"
Mexico,"2,280,213","+1,793","209,338 ",+126,"1,809,921","+2,245","260,954","4,798","17,542","1,610","6,273,107","48,261"
Iran,"2,070,141",,"64,490 ",,"1,710,974",,"294,677","4,392","24,405",760,"13,673,466","161,194"
Ukraine,"1,861,105","+7,856","37,301 ",+287,"1,416,215","+5,355","407,589",177,"42,756",857,"8,677,716","199,356"
Peru,"1,647,694",,"54,903 ",,"1,566,543",,"26,248","2,302","49,439","1,647","10,001,832","300,106"
Czechia,"1,581,184",+976,"27,918 ",+43,"1,466,296",+73,"86,970","1,157","147,437","2,603","14,397,254","1,342,471"
Indonesia,"1,566,995",,"42,530 ",,"1,414,507",,"109,958",,"5,682",154,"13,386,975","48,545"
South Africa,"1,558,458",,"53,322 ",,"1,483,296",,"21,840",546,"26,023",890,"10,138,936","169,298"
Netherlands,"1,350,665",,"16,771 ",,N/A,N/A,N/A,781,"78,690",977,"11,292,587","657,909"
Chile,"1,076,499",,"24,346 ",,"1,005,860",,"46,293","3,155","55,941","1,265","11,897,931","618,281"
Canada,"1,060,158",,"23,315 ",,"963,396",,"73,447",928,"27,900",614,"28,999,787","763,172"
Romania,"1,006,167",,"25,135 ",,"906,659",,"74,373","1,531","52,576","1,313","7,687,854","401,716"
Belgium,"925,476","+2,989","23,473 ",+45,"59,754",+322,"842,249",899,"79,585","2,019","11,704,200","1,006,481"
Iraq,"924,946",,"14,713 ",,"814,853",,"95,380",436,"22,604",360,"8,508,732","207,940"
Philippines,"876,225","+11,378","15,149 ",+204,"703,625",+267,"157,451",751,"7,915",137,"10,764,163","97,228"
Sweden,"857,401",,"13,621 ",,N/A,N/A,N/A,376,"84,488","1,342","7,847,033","773,245"
Israel,"836,072",+139,"6,299 ",+3,"826,289",+84,"3,484",253,"90,901",685,"13,778,191","1,498,022"
Portugal,"827,494",,"16,916 ",,"784,618",,"25,960",113,"81,338","1,663","9,363,361","920,365"
Pakistan,"725,602","+4,584","15,501 ",+58,"634,835","+3,135","75,266","4,201","3,236",69,"10,779,474","48,078"
Hungary,"725,241","+5,077","23,708 ",+291,"429,074","+2,680","272,459","1,249","75,223","2,459","4,961,146","514,576"
Bangladesh,"684,756",,"9,739 ",,"576,590",,"98,427",,"4,126",59,"5,002,865","30,145"
Jordan,"665,735",,"7,773 ",,"596,293",,"61,669",729,"64,749",756,"6,320,767","614,758"
Serbia,"642,208",,"5,735 ",,"555,672",,"80,801",266,"73,733",658,"3,588,296","411,978"
Switzerland,"617,543",,"10,453 ",,"557,566",,"49,524",189,"70,951","1,201","6,339,396","728,350"
Austria,"578,950","+1,943","9,706 ",+19,"538,609","+2,811","30,635",611,"63,998","1,073","26,848,583","2,967,897"
Japan,"503,403",,"9,382 ",,"463,725",,"30,296",520,"3,990",74,"10,430,419","82,667"
Morocco,"502,102",,"8,900 ",,"488,361",,"4,841",237,"13,479",239,"6,101,279","163,794"
Lebanon,"496,846",,"6,661 ",,"402,172",,"88,013",833,"73,048",979,"3,694,320","543,154"
UAE,"483,747",,"1,531  ",,"468,456",,"13,760",,"48,457",153,"40,263,802","4,033,223"
Saudi Arabia,"398,435",,"6,754 ",,"383,321",,"8,360",915,"11,308",192,"15,797,442","448,364"
Bulgaria,"371,993",,"14,418 ",,"286,258",,"71,317",797,"53,853","2,087","2,270,329","328,671"
Slovakia,"371,168",+106,"10,630 ",+65,"255,300",,"105,238",507,"67,958","1,946","2,441,472","447,017"
Malaysia,"360,856",,"1,329 ",,"343,953",,"15,574",183,"11,040",41,"8,204,996","251,014"
Panama,"358,611",,"6,163 ",,"348,231",,"4,217",105,"82,112","1,411","2,239,526","512,790"
Ecuador,"346,817",,"17,293 ",,"290,314",,"39,210",601,"19,429",969,"1,193,846","66,880"
Belarus,"336,038",,"2,354 ",,"326,487",,"7,197",,"35,571",249,"5,553,937","587,911"
Greece,"295,480",,"8,885 ",,"251,244",,"35,351",780,"28,457",856,"7,088,799","682,709"
Croatia,"292,938",+422,"6,333 ",+25,"274,761","+1,794","11,844",191,"71,702","1,550","1,642,311","401,984"
Georgia,"288,755",+359,"3,883 ",+6,"277,829",+526,"7,043",,"72,493",975,"3,685,088","925,157"
Azerbaijan,"285,993",,"3,915 ",,"250,708",,"31,370",,"28,011",383,"3,018,445","295,633"
Bolivia,"282,095",+525,"12,451 ",+9,"231,546",+739,"38,098",71,"23,914","1,055","989,217","83,858"
Nepal,"280,028",,"3,040 ",,"274,027",,"2,961",,"9,479",103,"2,312,901","78,292"
Tunisia,"271,861",,"9,293 ",,"224,907",,"37,661",413,"22,818",780,"1,180,807","99,106"
Kazakhstan,"271,809","+2,290","3,236 ",+15,"234,665",+608,"33,908",221,"14,343",171,"9,217,159","486,373"
Palestine,"268,132",,"2,860 ",,"232,960",,"32,312",185,"51,634",551,"1,636,553","315,152"
Dominican Republic,"257,698",,"3,388 ",,"216,452",,"37,858",151,"23,572",310,"1,347,004","123,213"
Kuwait,"247,094",,"1,407 ",,"231,240",,"14,447",225,"57,205",326,"2,159,422","499,927"
Moldova,"241,217",,"5,388 ",,"222,927",,"12,902",307,"59,905","1,338","902,202","224,057"
Ireland,"240,945",,"4,785 ",,"23,364",,"212,796",53,"48,377",961,"4,168,990","837,053"
Denmark,"237,792",,"2,441 ",,"226,630",,"8,721",38,"40,942",420,"29,118,371","5,013,438"
Paraguay,"235,292",,"4,827 ",,"193,286",,"37,179",442,"32,677",670,"975,187","135,434"
Ethiopia,"228,996",,"3,174 ",,"170,633",,"55,189",971,"1,955",27,"2,445,578","20,874"
Lithuania,"226,783",+597,"3,697 ",+9,"205,965",+68,"17,121",150,"84,225","1,373","2,499,215","928,186"
Slovenia,"226,499",,"4,119 ",,"208,561",,"13,819",139,"108,938","1,981","1,103,860","530,916"
Costa Rica,"222,544",,"3,018 ",,"194,760",,"24,766",199,"43,379",588,"842,015","164,128"
Egypt,"210,489",,"12,445 ",,"159,499",,"38,545",90,"2,027",120,"2,677,262","25,786"
Armenia,"203,327",+510,"3,753 ",+18,"182,836",+873,"16,738",,"68,517","1,265","906,177","305,362"
Guatemala,"203,071",,"7,016 ",,"185,549",,"10,506",5,"11,175",386,"1,107,251","60,932"
Honduras,"195,780",+255,"4,804 ",+34,"75,796",+243,"115,180",539,"19,526",479,"541,304","53,987"
Qatar,"190,025",,333 ,,"169,635",,"20,057",461,"67,677",119,"1,802,462","641,947"
Bosnia and Herzegovina,"181,927",,"7,298 ",,"139,419",,"35,210",,"55,722","2,235","835,478","255,897"
Venezuela,"174,887",,"1,778 ",,"157,486",,"15,623",237,"6,164",63,"3,359,014","118,387"
Oman,"171,549",,"1,776 ",,"152,784",,"16,989",229,"32,948",341,"1,550,000","297,692"
Libya,"168,676",+851,"2,828 ",+5,"153,644",+723,"12,204",,"24,292",407,"915,250","131,811"
Nigeria,"163,799",,"2,060 ",,"154,107",,"7,632",11,780,10,"1,803,177","8,583"
Bahrain,"156,462",,557 ,,"144,917",,"10,988",85,"89,562",319,"3,779,766","2,163,606"
Kenya,"145,670",,"2,348 ",,"99,095",,"44,227",256,"2,664",43,"1,561,838","28,560"
Uruguay,"144,642",,"1,462 ",,"110,277",,"32,903",485,"41,527",420,"1,532,512","439,986"
Myanmar,"142,576",,"3,206 ",,"131,853",,"7,517",,"2,607",59,"2,553,078","46,680"
North Macedonia,"141,844",,"4,228 ",,"116,780",,"20,836",124,"68,086","2,029","669,141","321,192"
Albania,"128,393",,"2,317 ",,"97,723",,"28,353",18,"44,653",806,"585,329","203,568"
Algeria,"118,516",,"3,130 ",,"82,600",,"32,786",19,"2,665",70,"230,861","5,192"
Estonia,"114,443",+269,"1,037 ",+9,"95,246",+439,"18,160",72,"86,227",781,"1,198,522","903,026"
S. Korea,"110,146",+587,"1,770 ",+2,"100,804",+695,"7,572",103,"2,147",35,"8,152,783","158,913"
Latvia,"107,818",+210,"1,990 ",+4,"99,324",,"6,504",94,"57,660","1,064","2,029,340","1,085,266"
Norway,"103,621",,684 ,,"88,952",,"13,985",57,"18,999",125,"4,824,081","884,478"
Sri Lanka,"95,131",,598 ,,"91,631",,"2,902",,"4,428",28,"2,374,627","110,535"
Montenegro,"94,269",,"1,373 ",,"88,505",,"4,391",69,"150,079","2,186","352,550","561,271"
Ghana,"91,260",,754 ,,"89,092",,"1,414",10,"2,890",24,"1,025,654","32,484"
Kyrgyzstan,"90,372",+145,"1,528 ",+6,"86,028",+103,"2,816",25,"13,677",231,"903,954","136,808"
Zambia,"90,029",,"1,226 ",,"88,018",,785,59,"4,794",65,"1,305,345","69,506"
Cuba,"86,531",,459 ,,"80,805",,"5,267",54,"7,643",41,"3,213,345","283,834"
Uzbekistan,"85,114",+192,634 ,,"82,943",+183,"1,537",23,"2,515",19,"1,377,915","40,713"
Finland,"82,278",+225,868 ,,"46,000",,"35,410",41,"14,832",156,"4,148,646","747,852"
Mozambique,"68,758",,791 ,,"58,904",,"9,063",68,"2,153",25,"496,181","15,540"
El Salvador,"66,489",,"2,054 ",+3,"62,958",,"1,477",60,"10,211",315,"871,383","133,819"
Luxembourg,"63,650",,768 ,,"58,874",,"4,008",30,"100,417","1,212","2,490,226","3,928,675"
Cameroon,"61,731",,919 ,,"56,926",,"3,886",385,"2,282",34,"1,257,949","46,495"
Singapore,"60,678",+25,30 ,,"60,335",,313,1,"10,309",5,"8,789,647","1,493,297"
Afghanistan,"57,364",+122,"2,529 ",,"52,005",+16,"2,830","1,124","1,448",64,"371,724","9,386"
Cyprus,"51,505",,272 ,,"39,061",,"12,172",57,"42,419",224,"3,943,321","3,247,710"
Namibia,"45,527",,570 ,,"43,640",,"1,317",34,"17,670",221,"361,681","140,378"
Ivory Coast,"45,206",,263 ,,"44,629",,314,,"1,682",10,"556,152","20,689"
Botswana,"42,674",,636 ,,"38,203",,"3,835",1,"17,868",266,"944,985","395,671"
Jamaica,"42,500",,672 ,,"18,896",,"22,932",49,"14,304",226,"304,179","102,375"
Uganda,"41,140",,337 ,,"40,685",,118,24,878,7,"967,026","20,640"
Senegal,"39,431",,"1,078 ",,"38,174",,179,16,"2,308",63,"454,201","26,587"
Zimbabwe,"37,288",,"1,538 ",,"34,873",,877,12,"2,481",102,"394,257","26,231"
Malawi,"33,827",,"1,128 ",,"31,479",,"1,220",23,"1,734",58,"223,964","11,479"
Thailand,"33,610",+985,97 ,,"28,248",+34,"5,265",1,481,1,"8,124,896","116,176"
Sudan,"30,111",,"2,063 ",,"24,214",,"3,834",,675,46,"232,965","5,219"
Malta,"29,614",,402 ,,"28,654",,558,,"66,931",909,"832,727","1,882,048"
Australia,"29,419",+17,909 ,,"26,361",+5,"2,149",,"1,143",35,"16,141,909","627,375"
DRC,"28,542",,745 ,,"25,841",,"1,956",,311,8,"143,197","1,562"
Madagascar,"28,063",,500 ,,"23,878",,"3,685",246,994,18,"154,334","5,465"
Maldives,"25,617",,67 ,,"22,551",,"2,999",82,"46,754",122,"668,667","1,220,402"
Angola,"23,457",,553 ,,"22,058",,846,13,697,16,"440,970","13,104"
Rwanda,"23,426",,315 ,,"21,243",,"1,868",6,"1,775",24,"1,220,068","92,431"
Guinea,"21,032",+83,136 ,+2,"18,613",+50,"2,283",24,"1,569",10,"414,630","30,926"
Gabon,"20,636",,127 ,,"17,456",,"3,053",20,"9,106",56,"662,689","292,417"
Syria,"20,226",,"1,378 ",,"14,012",,"4,836",,"1,134",77,,
Mayotte,"19,643",,167 ,,"2,964",,"16,512",7,"70,686",601,"162,430","584,510"
Cabo Verde,"19,005",,182 ,,"17,197",,"1,626",23,"33,897",325,"136,977","244,309"
French Polynesia,"18,652",,141 ,,"4,842",,"13,669",2,"66,102",500,"26,355","93,401"
Mauritania,"18,022",,450 ,,"17,347",,225,14,"3,799",95,"214,857","45,292"
French Guiana,"17,549",,94 ,,"9,995",,"7,460",9,"57,604",309,"169,271","555,628"
Réunion,"17,508",,123 ,,"16,011",,"1,374",54,"19,447",137,"100,098","111,186"
Eswatini,"17,376",,669 ,,"16,645",,62,3,"14,858",572,"173,720","148,544"
Mongolia,"15,718",+704,25 ,+3,"9,516",+357,"6,177",88,"4,736",8,"2,479,832","747,130"
Tajikistan,"13,308",,90 ,,"13,218",,0,,"1,372",9,,
Burkina Faso,"12,956",,152 ,,"12,593",,211,,607,7,"175,176","8,207"
Haiti,"12,840",,251 ,,"11,447",,"1,142",,"1,116",22,"54,379","4,724"
Andorra,"12,545",,120 ,,"11,825",,600,12,"162,162","1,551","193,595","2,502,488"
Belize,"12,485",,318 ,,"12,106",,61,1,"30,964",789,"103,373","256,376"
Somalia,"12,406",,618 ,,"5,222",,"6,566",,764,38,"99,591","6,134"
Guadeloupe,"12,140",,174 ,,"2,242",,"9,724",13,"30,337",435,"159,029","397,397"
Togo,"12,006",,116 ,,"9,274",,"2,616",,"1,424",14,"291,705","34,610"
Mali,"11,844",,408 ,,"7,143",,"4,293",,572,20,"243,860","11,781"
Hong Kong,"11,582",,207 ,,"11,206",,169,7,"1,535",27,"11,193,673","1,483,745"
Curaçao,"11,355",,66 ,,"6,521",,"4,768",22,"68,979",401,"84,951","516,059"
Guyana,"11,149",,255 ,,"9,721",,"1,173",15,"14,122",323,"99,349","125,838"
Lesotho,"10,707",,315 ,,"4,674",,"5,718",,"4,967",146,"71,129","33,000"
South Sudan,"10,372",,114 ,,"10,090",,168,,918,10,"139,379","12,339"
Congo,"10,084",,137 ,,"8,208",,"1,739",,"1,793",24,"92,500","16,451"
Aruba,"10,050",,92 ,,"9,411",,547,14,"93,822",859,"135,812","1,267,873"
