CountryName,Total Case,New Case,Total Deaths,new Deaths,Total Recovered,Active Cases,Critical Cases,Total Case / 1M Pop,Deaths / 1M Pop,Total Tests,Total Tests / 1M Pop,Population
USA,"31,990,143",,"576,298 ",,"24,560,856","6,852,989","9,321","96,206","1,733","420,822,699","1,265,571","332,516,170"
India,"13,689,453","+3,380","171,089 ",,"12,253,697","1,264,667","8,944","9,845",123,"259,207,108","186,404","1,390,568,032"
Brazil,"13,521,409",,"355,031 ",,"11,957,068","1,209,310","8,318","63,262","1,661","28,600,000","133,809","213,737,070"
France,"5,067,216",,"99,135 ",,"310,934","4,657,147","5,916","77,497","1,516","70,140,847","1,072,715","65,386,285"
Russia,"4,657,883","+8,173","103,601 ",+338,"4,281,776","272,506","2,300","31,907",710,"124,100,000","850,097","145,983,351"
UK,"4,373,343",,"127,100 ",,"3,981,812","264,431",406,"64,159","1,865","136,821,861","2,007,241","68,164,143"
Turkey,"3,903,573",,"34,182 ",,"3,372,629","496,762","2,891","45,900",402,"41,892,922","492,595","85,045,404"
Italy,"3,779,594",,"114,612 ",,"3,140,565","524,417","3,593","62,584","1,898","53,245,501","881,660","60,392,321"
Spain,"3,370,256",,"76,525 ",,"3,111,026","182,705","2,163","72,062","1,636","44,285,495","946,900","46,768,927"
Germany,"3,021,064",,"79,110 ",,"2,700,200","241,754","4,662","35,968",942,"51,559,277","613,852","83,993,045"
Poland,"2,599,850","+13,227","59,126 ",+644,"2,219,655","321,069","3,513","68,753","1,564","13,062,929","345,450","37,814,209"
Colombia,"2,552,937",,"66,156 ",,"2,395,733","91,048","3,079","49,760","1,289","13,367,485","260,549","51,305,017"
Argentina,"2,551,999",,"57,957 ",,"2,247,124","246,918","3,819","56,065","1,273","9,655,684","212,125","45,518,759"
Mexico,"2,281,840","+1,627","209,702 ",+364,"1,812,694","259,444","4,798","17,554","1,613","6,279,527","48,309","129,987,170"
Iran,"2,093,452",,"64,764 ",,"1,720,084","308,604","4,440","24,678",763,"13,770,167","162,329","84,829,001"
Ukraine,"1,872,785","+11,680","37,758 ",+457,"1,430,234","404,793",177,"43,025",867,"8,677,716","199,359","43,528,048"
Peru,"1,653,320",,"55,230 ",,"1,575,242","22,848","2,073","49,606","1,657","10,026,470","300,834","33,328,876"
Czechia,"1,585,037","+3,843","28,038 ",+42,"1,473,483","83,516","1,144","147,796","2,614","14,635,011","1,364,634","10,724,495"
Indonesia,"1,577,526","+5,702","42,782 ",+126,"1,426,145","108,599",,"5,720",155,"13,510,828","48,992","275,774,906"
South Africa,"1,559,113",,"53,356 ",,"1,484,356","21,401",546,"26,033",891,"10,154,978","169,560","59,890,253"
Netherlands,"1,357,340",,"16,791 ",,N/A,N/A,789,"79,078",978,"11,292,587","657,905","17,164,474"
Chile,"1,082,920",,"24,483 ",,"1,012,904","45,533","3,203","56,273","1,272","11,971,224","622,075","19,244,023"
Canada,"1,071,016",,"23,356 ",,"972,525","75,135",928,"28,185",615,"29,142,269","766,904","37,999,909"
Romania,"1,012,373","+3,883","25,441 ",+193,"915,464","71,468","1,530","52,901","1,329","7,736,296","404,254","19,137,193"
Iraq,"932,899",,"14,757 ",,"820,532","97,610",451,"22,797",361,"8,552,580","208,999","40,921,569"
Belgium,"927,229","+1,753","23,503 ",+30,"59,873","843,853",899,"79,734","2,021","11,723,475","1,008,126","11,628,975"
Philippines,"884,783","+8,571","15,286 ",+137,"703,963","165,534",750,"7,992",138,"10,814,501","97,679","110,715,077"
Sweden,"857,401",,"13,621 ",,N/A,N/A,376,"84,487","1,342","7,847,033","773,231","10,148,363"
Israel,"836,158",,"6,304 ",,"826,494","3,360",250,"90,911",685,"13,778,191","1,498,022","9,197,590 "
Portugal,"827,765",,"16,918 ",,"785,063","25,784",119,"81,365","1,663","9,530,238","936,775","10,173,455"
Pakistan,"729,920","+4,318","15,619 ",+118,"638,267","76,034","4,198","3,255",70,"10,829,994","48,301","224,218,687"
Hungary,"728,078","+2,837","23,980 ",+272,"431,124","272,974","1,209","75,518","2,487","4,976,613","516,184","9,641,167"
Bangladesh,"691,957",,"9,822 ",,"581,113","101,022",,"4,169",59,"5,037,833","30,354","165,966,798"
Jordan,"669,300",,"7,855 ",,"604,044","57,401",729,"65,094",764,"6,348,440","617,433","10,281,995"
Serbia,"645,173",,"5,773 ",,"560,934","78,466",254,"74,074",663,"3,601,063","413,448","8,709,834"
Switzerland,"623,126",,"10,466 ",,"560,294","52,366",193,"71,591","1,202","6,412,371","736,720","8,703,948"
Austria,"581,263","+2,313","9,748 ",+42,"541,786","29,729",599,"64,253","1,078","27,197,861","3,006,461","9,046,471"
Japan,"506,286",,"9,400 ",,"465,916","30,970",563,"4,013",75,"10,454,733","82,860","126,173,611"
Morocco,"502,277",,"8,909 ",,"488,632","4,736",240,"13,484",239,"6,106,431","163,927","37,250,917"
Lebanon,"497,854",,"6,703 ",,"406,095","85,056",827,"73,197",986,"3,719,848","546,914","6,801,526"
UAE,"485,675",,"1,533 ",,"470,175","13,967",,"48,648",154,"40,403,698","4,047,105","9,983,359"
Saudi Arabia,"399,277",,"6,765 ",,"384,027","8,485",950,"11,332",192,"15,857,235","450,042","35,235,026"
Bulgaria,"375,115",,"14,619 ",,"289,356","71,140",776,"54,306","2,116","2,287,726","331,196","6,907,472"
Slovakia,"372,038",+870,"10,716 ",+86,"255,300","106,022",506,"68,118","1,962","2,449,747","448,531","5,461,708"
Malaysia,"363,940","+1,767","1,345 ",+12,"346,295","16,300",199,"11,134",41,"8,292,260","253,675","32,688,487"
Panama,"358,792",,"6,167 ",,"348,554","4,071",105,"82,150","1,412","2,243,777","513,741","4,367,524"
Ecuador,"347,070",,"17,298 ",,"290,314","39,458",593,"19,442",969,"1,195,370","66,963","17,851,195"
Belarus,"336,881",,"2,363 ",,"327,087","7,431",,"35,661",250,"5,563,117","588,883","9,446,894"
Greece,"297,086",,"8,961 ",,"254,804","33,321",781,"28,612",863,"7,109,471","684,709","10,383,207"
Croatia,"294,874","+1,936","6,358 ",+25,"276,420","12,096",192,"72,177","1,556","1,652,525","404,491","4,085,445"
Georgia,"290,129","+1,374","3,894 ",+11,"278,251","7,984",,"72,839",978,"3,722,612","934,583","3,983,180"
Azerbaijan,"287,144",,"3,944 ",,"251,760","31,440",,"28,123",386,"3,026,132","296,379","10,210,354"
Bolivia,"283,084",+989,"12,469 ",+18,"232,422","38,193",71,"23,997","1,057","999,531","84,729","11,796,807"
Nepal,"280,524",,"3,053 ",,"274,165","3,306",,"9,495",103,"2,317,284","78,436","29,543,475"
Kazakhstan,"273,825","+2,016","3,260 ",+24,"235,862","34,703",221,"14,449",172,"9,258,849","488,557","18,951,428"
Tunisia,"272,940",,"9,332 ",,"226,070","37,538",415,"22,907",783,"1,186,045","99,543","11,914,881"
Palestine,"270,856",,"2,883 ",,"234,698","33,275",186,"52,156",555,"1,636,553","315,132","5,193,231"
Dominican Republic,"258,039",,"3,392 ",,"216,780","37,867",151,"23,603",310,"1,348,754","123,370","10,932,601"
Kuwait,"248,729",,"1,412 ",,"232,556","14,761",228,"57,581",327,"2,169,047","502,135","4,319,647"
Moldova,"241,820",,"5,409 ",,"223,822","12,589",303,"60,055","1,343","905,532","224,886","4,026,631"
Ireland,"241,330",,"4,785 ",,"23,364","213,181",46,"48,453",961,"4,196,113","842,473","4,980,708"
Denmark,"238,306",,"2,443 ",,"227,244","8,619",40,"41,030",421,"29,457,120","5,071,713","5,808,121"
Paraguay,"237,542",,"4,889 ",,"194,987","37,666",446,"32,989",679,"981,681","136,332","7,200,687"
Ethiopia,"230,944",,"3,208 ",,"171,980","55,756",983,"1,971",27,"2,453,287","20,938","117,166,929"
Lithuania,"227,889","+1,088","3,713 ",+12,"207,391","16,785",150,"84,639","1,379","2,516,597","934,678","2,692,476"
