,CountryName,Total Case,New Case,Total Deaths,new Deaths,Total Recovered,Active Cases,Critical Cases,Total Case / 1M Pop,Deaths / 1M Pop,Total Tests,Total Tests / 1M Pop,Population
0,USA,31990143,0.0,576298.0,0.0,24560856.0,6852989.0,9321.0,96206,1733.0,420822699.0,1265571.0,332516170
1,India,13689453,3380.0,171089.0,0.0,12253697.0,1264667.0,8944.0,9845,123.0,259207108.0,186404.0,1390568032
2,Brazil,13521409,0.0,355031.0,0.0,11957068.0,1209310.0,8318.0,63262,1661.0,28600000.0,133809.0,213737070
3,France,5067216,0.0,99135.0,0.0,310934.0,4657147.0,5916.0,77497,1516.0,70140847.0,1072715.0,65386285
4,Russia,4657883,8173.0,103601.0,338.0,4281776.0,272506.0,2300.0,31907,710.0,124100000.0,850097.0,145983351
5,UK,4373343,0.0,127100.0,0.0,3981812.0,264431.0,406.0,64159,1865.0,136821861.0,2007241.0,68164143
6,Turkey,3903573,0.0,34182.0,0.0,3372629.0,496762.0,2891.0,45900,402.0,41892922.0,492595.0,85045404
7,Italy,3779594,0.0,114612.0,0.0,3140565.0,524417.0,3593.0,62584,1898.0,53245501.0,881660.0,60392321
8,Spain,3370256,0.0,76525.0,0.0,3111026.0,182705.0,2163.0,72062,1636.0,44285495.0,946900.0,46768927
9,Germany,3021064,0.0,79110.0,0.0,2700200.0,241754.0,4662.0,35968,942.0,51559277.0,613852.0,83993045
10,Poland,2599850,13227.0,59126.0,644.0,2219655.0,321069.0,3513.0,68753,1564.0,13062929.0,345450.0,37814209
11,Colombia,2552937,0.0,66156.0,0.0,2395733.0,91048.0,3079.0,49760,1289.0,13367485.0,260549.0,51305017
12,Argentina,2551999,0.0,57957.0,0.0,2247124.0,246918.0,3819.0,56065,1273.0,9655684.0,212125.0,45518759
13,Mexico,2281840,1627.0,209702.0,364.0,1812694.0,259444.0,4798.0,17554,1613.0,6279527.0,48309.0,129987170
14,Iran,2093452,0.0,64764.0,0.0,1720084.0,308604.0,4440.0,24678,763.0,13770167.0,162329.0,84829001
15,Ukraine,1872785,11680.0,37758.0,457.0,1430234.0,404793.0,177.0,43025,867.0,8677716.0,199359.0,43528048
16,Peru,1653320,0.0,55230.0,0.0,1575242.0,22848.0,2073.0,49606,1657.0,10026470.0,300834.0,33328876
17,Czechia,1585037,3843.0,28038.0,42.0,1473483.0,83516.0,1144.0,147796,2614.0,14635011.0,1364634.0,10724495
18,Indonesia,1577526,5702.0,42782.0,126.0,1426145.0,108599.0,0.0,5720,155.0,13510828.0,48992.0,275774906
19,South Africa,1559113,0.0,53356.0,0.0,1484356.0,21401.0,546.0,26033,891.0,10154978.0,169560.0,59890253
20,Netherlands,1357340,0.0,16791.0,0.0,0.0,0.0,789.0,79078,978.0,11292587.0,657905.0,17164474
21,Chile,1082920,0.0,24483.0,0.0,1012904.0,45533.0,3203.0,56273,1272.0,11971224.0,622075.0,19244023
22,Canada,1071016,0.0,23356.0,0.0,972525.0,75135.0,928.0,28185,615.0,29142269.0,766904.0,37999909
23,Romania,1012373,3883.0,25441.0,193.0,915464.0,71468.0,1530.0,52901,1329.0,7736296.0,404254.0,19137193
24,Iraq,932899,0.0,14757.0,0.0,820532.0,97610.0,451.0,22797,361.0,8552580.0,208999.0,40921569
25,Belgium,927229,1753.0,23503.0,30.0,59873.0,843853.0,899.0,79734,2021.0,11723475.0,1008126.0,11628975
26,Philippines,884783,8571.0,15286.0,137.0,703963.0,165534.0,750.0,7992,138.0,10814501.0,97679.0,110715077
27,Sweden,857401,0.0,13621.0,0.0,0.0,0.0,376.0,84487,1342.0,7847033.0,773231.0,10148363
28,Israel,836158,0.0,6304.0,0.0,826494.0,3360.0,250.0,90911,685.0,13778191.0,1498022.0,9197590
29,Portugal,827765,0.0,16918.0,0.0,785063.0,25784.0,119.0,81365,1663.0,9530238.0,936775.0,10173455
30,Pakistan,729920,4318.0,15619.0,118.0,638267.0,76034.0,4198.0,3255,70.0,10829994.0,48301.0,224218687
31,Hungary,728078,2837.0,23980.0,272.0,431124.0,272974.0,1209.0,75518,2487.0,4976613.0,516184.0,9641167
32,Bangladesh,691957,0.0,9822.0,0.0,581113.0,101022.0,0.0,4169,59.0,5037833.0,30354.0,165966798
33,Jordan,669300,0.0,7855.0,0.0,604044.0,57401.0,729.0,65094,764.0,6348440.0,617433.0,10281995
34,Serbia,645173,0.0,5773.0,0.0,560934.0,78466.0,254.0,74074,663.0,3601063.0,413448.0,8709834
35,Switzerland,623126,0.0,10466.0,0.0,560294.0,52366.0,193.0,71591,1202.0,6412371.0,736720.0,8703948
36,Austria,581263,2313.0,9748.0,42.0,541786.0,29729.0,599.0,64253,1078.0,27197861.0,3006461.0,9046471
37,Japan,506286,0.0,9400.0,0.0,465916.0,30970.0,563.0,4013,75.0,10454733.0,82860.0,126173611
38,Morocco,502277,0.0,8909.0,0.0,488632.0,4736.0,240.0,13484,239.0,6106431.0,163927.0,37250917
39,Lebanon,497854,0.0,6703.0,0.0,406095.0,85056.0,827.0,73197,986.0,3719848.0,546914.0,6801526
40,UAE,485675,0.0,1533.0,0.0,470175.0,13967.0,0.0,48648,154.0,40403698.0,4047105.0,9983359
41,Saudi Arabia,399277,0.0,6765.0,0.0,384027.0,8485.0,950.0,11332,192.0,15857235.0,450042.0,35235026
42,Bulgaria,375115,0.0,14619.0,0.0,289356.0,71140.0,776.0,54306,2116.0,2287726.0,331196.0,6907472
43,Slovakia,372038,870.0,10716.0,86.0,255300.0,106022.0,506.0,68118,1962.0,2449747.0,448531.0,5461708
44,Malaysia,363940,1767.0,1345.0,12.0,346295.0,16300.0,199.0,11134,41.0,8292260.0,253675.0,32688487
45,Panama,358792,0.0,6167.0,0.0,348554.0,4071.0,105.0,82150,1412.0,2243777.0,513741.0,4367524
46,Ecuador,347070,0.0,17298.0,0.0,290314.0,39458.0,593.0,19442,969.0,1195370.0,66963.0,17851195
47,Belarus,336881,0.0,2363.0,0.0,327087.0,7431.0,0.0,35661,250.0,5563117.0,588883.0,9446894
48,Greece,297086,0.0,8961.0,0.0,254804.0,33321.0,781.0,28612,863.0,7109471.0,684709.0,10383207
49,Croatia,294874,1936.0,6358.0,25.0,276420.0,12096.0,192.0,72177,1556.0,1652525.0,404491.0,4085445
50,Georgia,290129,1374.0,3894.0,11.0,278251.0,7984.0,0.0,72839,978.0,3722612.0,934583.0,3983180
51,Azerbaijan,287144,0.0,3944.0,0.0,251760.0,31440.0,0.0,28123,386.0,3026132.0,296379.0,10210354
52,Bolivia,283084,989.0,12469.0,18.0,232422.0,38193.0,71.0,23997,1057.0,999531.0,84729.0,11796807
53,Nepal,280524,0.0,3053.0,0.0,274165.0,3306.0,0.0,9495,103.0,2317284.0,78436.0,29543475
