CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Date
China,90499,16,4636,,85549,11,314,5,18/4/2021
USA,32404463,43181,581061,310,24961229,51459,6862173,9814,18/4/2021
India,15057767,275306,178793,1625,12948848,143754,1930126,8944,18/4/2021
Brazil,13943071,42937,373442,1553,12391599,46738,1178030,8318,18/4/2021
France,5289526,29344,100733,140,4116084,34881,1072709,5893,18/4/2021
Russia,4702101,8632,105582,389,4326780,7391,269739,2300,18/4/2021
UK,4387820,1882,127270,10,4150568,4758,109982,332,18/4/2021
Turkey,4268447,55802,35926,318,3687590,43856,544931,3275,18/4/2021
Italy,3870131,12694,116927,251,3248593,13134,504611,3311,18/4/2021
Spain,3407283,,76981,,3129234,,201068,2180,18/4/2021
Germany,3151030,13123,80591,65,2775200,10100,295239,4740,18/4/2021
Argentina,2694014,16267,59228,64,2364171,20363,270615,4105,18/4/2021
Poland,2688044,12172,62032,207,2311145,25924,314867,3359,18/4/2021
Colombia,2652947,16871,68328,397,2471498,13610,113121,4299,18/4/2021
Mexico,2304096,4157,212228,535,1826646,2914,265222,4798,18/4/2021
Iran,2237089,21644,66732,405,1785358,12670,384999,4766,18/4/2021
Ukraine,1946510,10282,39786,250,1482079,6523,424645,177,18/4/2021
Peru,1704757,7131,57230,433,1627969,8289,19558,2636,18/4/2021
Indonesia,1604348,4585,43424,96,1455065,4873,105859,,18/4/2021
Czechia,1601888,1533,28502,49,1508943,78,64443,938,18/4/2021
South Africa,1566769,1089,53736,25,1490143,686,22890,546,18/4/2021
Netherlands,1403833,8505,16916,12,1170083,7344,216834,796,18/4/2021
Chile,1124718,7370,25177,122,1053635,7828,45906,3308,18/4/2021
Canada,1121498,7591,23623,32,1009950,6397,87925,1167,18/4/2021
Romania,1029304,2265,26232,160,940792,4277,62280,1475,18/4/2021
Iraq,977175,6188,14981,33,856532,6814,105662,526,18/4/2021
Belgium,947000,3787,23718,37,799120,4614,124162,923,18/4/2021
Philippines,936117,10082,15960,150,779056,72579,141101,750,18/4/2021
Sweden,900138,,13788,,730387,,155963,391,18/4/2021
Israel,837047,165,6335,4,828488,524,2224,196,18/4/2021
Portugal,831001,441,16945,3,788669,395,25387,109,18/4/2021
Pakistan,756285,6127,16243,149,659483,4527,80559,4446,18/4/2021
Hungary,750508,3706,25184,205,455029,4238,270295,1051,18/4/2021
Bangladesh,718950,3698,10385,102,614936,6121,93629,,18/4/2021
Jordan,685973,2507,8246,68,638481,6537,39246,729,18/4/2021
Serbia,662368,2069,5991,37,589535,5437,66842,218,18/4/2021
Switzerland,632399,,10508,3,570159,1743,51732,235,18/4/2021
Austria,593423,2076,9898,28,555218,2599,28307,546,18/4/2021
Japan,529829,4611,9622,38,480793,2415,39414,723,18/4/2021
Lebanon,510403,1900,6925,39,423848,,79630,735,18/4/2021
Morocco,505811,364,8945,1,491810,273,5056,235,18/4/2021
UAE,497154,1930,1554,4,479566,1503,16034,,18/4/2021
Saudi Arabia,404970,916,6823,13,388702,907,9445,1044,18/4/2021
Bulgaria,386381,418,15195,57,306678,1441,64508,783,18/4/2021
Slovakia,375974,638,11106,63,255300,,109568,438,18/4/2021
Malaysia,375054,2195,1378,8,353822,1427,19854,219,18/4/2021
Panama,360841,244,6188,1,350610,263,4043,105,18/4/2021
Ecuador,360546,2389,17703,62,309541,10937,33302,621,18/4/2021
Belarus,344223,1300,2423,10,334852,1479,6948,,18/4/2021
Greece,315273,1829,9462,65,267947,,37864,841,18/4/2021
Croatia,307790,1565,6562,39,285560,2142,15668,194,18/4/2021
Azerbaijan,300666,2144,4140,33,264403,1923,32123,,18/4/2021
Georgia,295358,818,3939,14,280915,783,10504,,18/4/2021
Bolivia,288545,1185,12634,9,237313,858,38598,71,18/4/2021
Kazakhstan,287001,2828,3384,20,246323,1806,37294,221,18/4/2021
Tunisia,285490,1514,9783,66,234791,779,40916,486,18/4/2021
Nepal,284673,1015,3083,8,275300,262,6290,,18/4/2021
Palestine,280741,988,3017,34,247359,2064,30365,170,18/4/2021
Dominican Republic,261129,502,3418,4,218724,418,38987,157,18/4/2021
Kuwait,256987,1127,1448,8,240465,1438,15074,250,18/4/2021
Paraguay,250165,1801,5313,62,205883,1901,38969,495,18/4/2021
Moldova,245897,403,5571,23,231235,1145,9091,263,18/4/2021
Ireland,243508,270,4836,1,224471,506,14201,46,18/4/2021
Denmark,242633,902,2455,3,231166,528,9012,35,18/4/2021
Ethiopia,242028,1792,3370,42,179315,610,59343,1027,18/4/2021
Lithuania,233640,735,3760,6,211411,105,18469,173,18/4/2021
Slovenia,232077,484,4159,6,215986,714,11932,153,18/4/2021
Costa Rica,228577,,3071,,196974,,28532,236,18/4/2021
Egypt,216334,850,12738,44,163479,765,40117,90,18/4/2021
Guatemala,212734,427,7221,31,190944,556,14569,5,18/4/2021
Armenia,208520,547,3878,19,187466,210,17176,70264,18/4/2021
Honduras,200259,577,4954,20,76235,,119070,576,18/4/2021
Qatar,196580,823,382,6,173970,713,22228,467,18/4/2021
Bosnia and Herzegovina,190767,1302,7870,49,145863,,37034,58437,18/4/2021
Venezuela,183190,1287,1905,17,165959,1429,15326,274,18/4/2021
Oman,180031,3363,1878,57,160324,3479,17829,261,18/4/2021
