CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical
China,90447,12,4636,,85513,7,298,6
USA,32149223,78439,578092,915,24696161,69751,6874970,9676
India,14070890,199569,173152,1037,12426146,93458,1471592,8944
Brazil,13677564,75998,362180,3462,12170771,95973,1144613,8318
France,5149834,43505,99777,297,315152,2101,4734905,5902
Russia,4666209,8326,104000,399,4291223,9447,270986,2300
UK,4378305,2491,127161,38,4000777,8361,250367,370
Turkey,4025557,62797,34734,279,3480146,55413,510677,3018
Italy,3809193,16168,115557,469,3178976,20251,514660,3490
Spain,3387022,10474,76756,131,3118437,4384,191829,2153
Germany,3064382,32546,79813,405,2718700,18500,265869,4662
Poland,2621116,21283,59930,803,2229801,10146,331385,3457
Argentina,2604157,25157,58542,368,2278486,15611,267129,3879
Colombia,2585801,16487,66819,337,2419265,10641,99717,4299
Mexico,2286133,4293,210294,592,1815237,2543,260602,4798
Iran,2143794,25582,65359,304,1739002,9709,339433,4539
Ukraine,1887338,14553,38225,467,1442618,12384,406495,177
Peru,1667737,8030,55812,323,1592937,8512,18988,2615
Czechia,1590124,5033,28124,38,1480882,258,81118,1097
Indonesia,1583182,5656,42906,124,1431892,5747,108384,
South Africa,1561559,1599,53498,75,1486873,1558,21188,546
Netherlands,1369411,5386,16848,28,,,,776
Chile,1094267,5557,24548,30,1026934,6009,42785,3271
Canada,1087152,8590,23445,53,983506,6629,80201,928
Romania,1016449,4076,25605,164,920653,5189,70191,1521
Iraq,949050,7972,14836,40,831519,5196,102695,512
Belgium,930603,3374,23566,63,59964,91,847073,919
Philippines,892880,8122,15447,162,704386,501,173047,750
Sweden,885385,13720,36,,,,,391
Israel,836504,170,6312,3,827184,416,3008,219
Portugal,828857,684,16931,8,786469,660,25457,116
Pakistan,734423,4503,15754,135,641912,3645,76757,4216
Hungary,731675,3597,24265,285,435344,4220,272066,1204
Bangladesh,703170,5185,9987,96,591299,5333,101884,
Jordan,676175,4085,7987,50,617096,6482,51092,729
Serbia,651899,3154,5846,38,571312,5190,74741,247
Switzerland,627968,2601,10488,16,563438,1577,54042,209
Austria,584205,2942,9779,31,544989,3203,29437,586
Japan,512169,3367,9469,44,471007,2237,31693,608
Morocco,503664,703,8920,5,489928,640,4816,245
Lebanon,502299,2460,6778,40,413175,1465,82346,821
UAE,489495,1798,1541,4,473398,1492,14556,
Saudi Arabia,401157,929,6781,8,385441,806,8935,986
Bulgaria,380576,2517,14871,125,296998,3647,68707,807
Slovakia,373107,1069,10798,82,255300,,107009,488
Malaysia,365829,1889,1353,8,347780,1485,16696,204
Panama,359516,395,6177,4,349318,365,4021,105
Ecuador,350539,2950,17400,49,298604,,34535,591
Belarus,338801,1166,2383,10,329135,1287,7283,
Greece,304184,3081,9135,81,261176,6372,33873,809
Croatia,297973,3099,6399,41,277694,1274,13880,185
Azerbaijan,291894,2293,4009,31,255833,2071,32052,
Georgia,291214,1085,3901,7,278683,432,8630,
Bolivia,284183,1099,12496,27,233646,1224,38041,71
Nepal,281564,580,3061,3,274447,129,4056,
Tunisia,276727,2123,9480,84,229754,1487,37493,446
Kazakhstan,276054,2229,3286,26,237446,1584,35322,221
Palestine,274690,1923,2923,22,239291,2245,32476,180
Dominican Republic,259260,623,3402,5,217286,278,38572,156
Kuwait,251675,1402,1423,4,235053,1296,15199,237
Moldova,243365,1001,5466,28,226325,1289,11574,304
Paraguay,242161,2020,5040,62,198473,1755,38648,489
Ireland,242105,421,4812,9,23364,,213929,49
Denmark,239532,663,2447,1,228685,678,8400,41
Ethiopia,234405,1893,3252,22,174591,773,56562,995
Lithuania,229260,1284,3718,4,208123,732,17419,151
Slovenia,229076,1233,4135,5,211485,1566,13456,154
Costa Rica,225343,,3044,,196060,,26239,221
Egypt,212961,831,12570,44,161031,600,39360,90
Guatemala,207127,1805,7089,32,187894,842,12144,5
Armenia,205128,1075,3794,19,184243,583,17091,69123
Honduras,196704,618,4873,12,76081,129,115750,576
Qatar,192963,984,348,8,171388,601,21227,483
Bosnia and Herzegovina,186372,708,7642,76,143944,1290,34786,
Venezuela,178094,1122,1834,19,160620,1073,15640,237
Oman,175633,1269,1807,9,155645,874,18181,264
Libya,170045,541,2834,4,155117,897,12094,
Nigeria,164000,89,2061,,154270,45,7669,11
Bahrain,159964,1175,569,3,148093,931,11302,91
Uruguay,152089,2659,1647,52,119388,2855,31054,509
Kenya,148128,981,2420,26,99580,,46128,269
North Macedonia,144111,949,4322,33,119683,737,20106,124
Myanmar,142605,9,3206,,131874,5,7525,2607
Albania,128959,207,2331,5,99441,538,27187,18
Algeria,118975,176,3141,4,82929,116,32905,19
Estonia,115629,549,1057,8,97889,1045,16683,68
S. Korea,111419,731,1782,7,101983,651,7654,100
