CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Date
China,90520,10,4636,,85573,14,311,5,20/4/2021
USA,32536470,60317,582456,883,25105535,62072,6848479,10048,20/4/2021
India,15609004,294290,182570,2020,13269863,166643,2156571,8944,20/4/2021
Brazil,14050885,73172,378530,3481,12561689,100977,1110666,8318,20/4/2021
France,5339920,43098,101597,375,4181381,30092,1056942,5984,20/4/2021
Russia,4718854,8164,106307,379,4343229,9631,269318,2300,20/4/2021
UK,4393307,2524,127307,33,4161433,5298,104567,318,20/4/2021
Turkey,4384624,61028,36613,346,3792129,55592,555882,3375,20/4/2021
Italy,3891063,12074,117633,390,3290715,22453,482715,3151,20/4/2021
Spain,3435840,7486,77216,114,3147281,2928,211343,2289,20/4/2021
Germany,3180810,16363,81086,312,2803600,16400,296124,4932,20/4/2021
Argentina,2743620,29145,59792,316,2407853,21470,275975,4366,20/4/2021
Poland,2704567,9242,62733,600,2354652,19674,287182,3287,20/4/2021
Colombia,2684101,16965,69177,429,2505738,17492,109186,5306,20/4/2021
Mexico,2306910,1308,212466,127,1833132,3652,261312,4798,20/4/2021
Iran,2286927,25492,67525,395,1810531,13212,408871,4911,20/4/2021
Ukraine,1961956,8940,40367,367,1499752,12075,421837,177,20/4/2021
Peru,1719088,11301,57954,417,1645100,8814,16034,2580,20/4/2021
Indonesia,1614849,5549,43777,210,1468142,6728,102930,,20/4/2021
Czechia,1606074,3330,28683,67,1517568,188,59823,888,20/4/2021
South Africa,1568366,853,53887,130,1494630,3754,19849,546,20/4/2021
Netherlands,1417772,6822,16965,27,1184607,6943,216200,821,20/4/2021
Canada,1139043,7270,23713,46,1027458,7679,87872,1167,20/4/2021
Chile,1136435,5095,25317,40,1067662,6836,43456,3372,20/4/2021
Romania,1034003,2931,26618,237,950242,5468,57143,1432,20/4/2021
Iraq,993158,8208,15060,34,870927,6888,107171,486,20/4/2021
Philippines,953080,7353,16141,93,809909,21614,127030,750,20/4/2021
Belgium,951626,1630,23782,35,804194,,123650,931,20/4/2021
Sweden,924340,7520,13828,1,741752,1578,168760,416,20/4/2021
Israel,837357,139,6345,4,828902,216,2110,175,20/4/2021
Portugal,831645,424,16951,5,790118,902,24576,113,20/4/2021
Pakistan,766882,5445,16453,137,667131,4286,83298,4494,20/4/2021
Hungary,754833,1645,25580,199,461181,2969,268072,980,20/4/2021
Bangladesh,727780,4559,10588,91,628111,6811,89081,,20/4/2021
Jordan,692181,2699,8372,64,649718,5232,34091,729,20/4/2021
Serbia,667937,2965,6058,32,599380,4775,62499,219,20/4/2021
Switzerland,639445,2141,10532,11,572577,1209,56336,218,20/4/2021
Austria,597566,2026,9959,37,560492,3025,27115,565,20/4/2021
Japan,537154,2745,9671,30,486076,3024,41407,769,20/4/2021
Lebanon,513006,1608,6995,36,432548,2950,73463,769,20/4/2021
Morocco,506669,720,8959,7,492725,625,4985,261,20/4/2021
UAE,500860,1903,1559,3,483180,1854,16121,,20/4/2021
Saudi Arabia,407010,1070,6846,12,390538,940,9626,1105,20/4/2021
Bulgaria,390911,2096,15518,106,314273,3351,61120,765,20/4/2021
Malaysia,379473,2341,1389,3,356816,1592,21268,249,20/4/2021
Slovakia,376709,642,11244,72,255300,,110165,430,20/4/2021
Panama,361319,275,6192,3,351228,393,3899,105,20/4/2021
Ecuador,361154,591,17744,41,309541,33869,33869,644,20/4/2021
