CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical
USA,"32,602,051","65,057","583,330",876,"25,177,434","6,841,287","10,009"
India,"15,924,806","315,802","184,672","2,102","13,449,406","2,290,728","8,944"
Brazil,"14,122,795","71,910","381,687","3,157","12,646,132","1,094,976","8,318"
France,"5,374,288","34,968","101,881",313,"4,218,607","1,053,800","5,959"
Russia,"4,727,125","8,271","106,706",399,"4,352,873","267,546","2,300"
Turkey,"4,446,591","61,967","36,975",362,"3,844,342","565,274","3,398"
UK,"4,395,702","2,395","127,327",22,"4,166,734","101,641",300
Italy,"3,904,713","13,658","117,997",364,"3,311,267","475,449","3,076"
Spain,"3,446,072","10,232","77,364",148,"3,151,587","217,121","2,288"
Germany,"3,208,672","27,862","81,382",296,"2,824,100","303,190","4,932"
Argentina,"2,769,552","25,932","60,083",291,"2,424,675","284,794","4,492"
Poland,"2,718,494","13,927","63,474",741,"2,366,230","288,790","3,265"
Colombia,"2,701,313","17,212","69,596",419,"2,521,944","109,773","5,306"
Iran,"2,311,813","24,886","67,913",388,"1,823,958","419,942","4,991"
Mexico,"2,311,172","4,262","213,048",582,"1,836,377","261,747","4,798"
Ukraine,"1,974,118","12,162","40,796",429,"1,514,472","418,850",177
Peru,"1,726,806","7,718","58,261",307,"1,653,411","15,134","2,628"
Indonesia,"1,620,569","5,720","44,007",230,"1,475,456","101,106",
Czechia,"1,609,895","3,815","28,779",60,"1,522,017","59,099",861
South Africa,"1,569,935","1,569","53,940",53,"1,495,864","20,131",546
Netherlands,"1,426,243","8,471","16,982",17,"1,190,841","218,420",817
Canada,"1,147,464","8,421","23,763",50,"1,037,898","85,803","1,312"
Chile,"1,141,403","4,968","25,353",36,"1,074,827","41,223","3,401"
Romania,"1,037,009","3,006","26,793",175,"954,868","55,348","1,436"
Iraq,"1,001,854","8,696","15,098",38,"877,309","109,447",517
Philippines,"962,282","9,202","16,265",124,"829,553","116,464",750
Belgium,"955,056","3,430","23,834",52,"813,224","117,998",946
Sweden,"932,092","7,727","13,891",2,"744,405","173,796",416
Israel,"837,492",135,"6,346",1,"829,127","2,019",173
Portugal,"832,255",610,"16,952",1,"790,650","24,653",110
Pakistan,"772,381","5,499","16,600",147,"672,619","83,162","4,528"
Hungary,"757,360","2,527","25,787",207,"464,750","266,823",925
Bangladesh,"732,060","4,280","10,683",95,"635,183","86,194",
Jordan,"695,390","3,209","8,429",57,"654,493","32,468",729
Serbia,"670,801","2,864","6,095",37,"604,174","60,532",228
Switzerland,"642,131","2,686","10,546",14,"573,786","57,799",226
